id,front,back,status,tags
68,"In a child with a confirmed diagnosis of coeliac disease, i.e. permanent gluten intolerance, the following products should be totally eliminated from the diet: 1) wheat; 2) rye; 3) corn; 4) barley; 5) rice","Answer: A: 1,2,4 Explanation: Exam anchor: 1,2,4. Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
69,WHICH OF THE FOLLOWING IS NOT a cause of obesity in children?,Answer: B: leprechaunism Explanation: Exam trap: leprechaunism is the excluded/false choice. The table/true-set above shows what remains correct.,caveat/updated,pediatrics leks 2026 caveat_updated
70,Mild course tuberculosis includes: 1) cutaneous tuberculosis; 2) osteoarticular tuberculosis; 3) tuberculous spondylitis; 4) miliary tuberculosis; 5) lymphonodular tuberculosis,"Answer: A: 1,2,5 Explanation: Exam anchor: 1,2,5. Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
71,Which of the following antibiotics should be used in the treatment of acute pyelonephritis in a 2-year-old child?,Answer: C: 3 -generation cephalosporin Explanation: Exam anchor: 3 -generation cephalosporin. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
72,Which of the following can be anticipated in a child with Marfan syndrome (mutation in the FBN1 gene encoding fibrillin-1): 1) proportional above-average height; 2) abnormal joint flexibility; 3) male gender; 4) scoliosis; 5) aortic stenosis; 6) cataract,"Answer: E: 2,4 Caveat: Legacy A makes proportional tall stature, male sex, aortic stenosis and cataract part of Marfan syndrome. The robust listed features are joint laxity and scoliosis; classic ocular/cardiac findings are ectopia lentis and aortic-root disease -> E. Explanation: Marfan: joint laxity and scoliosis fit. Height is characteristically disproportionate (long limbs), there is no male predilection, the aortic lesion is root dilatation/aneurysm rather than stenosis, and the ocular hallmark is ectopia lentis rather than cataract.",caveat/updated,pediatrics leks 2026 caveat_updated
73,"Taking into consideration a theoretical risk of foetus malformations caused by the vaccine, an attenuated strain of rubella virus, what is the minimal interval between the vaccination with a combined measles-mumps-rubella vaccine and the planned pregnancy according to the Polish National Program of Immunizations?",Answer: B: 4 weeks Explanation: Avoid pregnancy for at least 4 weeks after a live MMR vaccine.,caveat/updated,pediatrics leks 2026 caveat_updated
74,Which karyotype is found in a patient with Morris syndrome?,Answer: D: 46 XY Explanation: Exam anchor: 46 XY. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
75,Factors which can disturb the fetal growth DO NOT include:,Answer: D: mother’s diet rich in folic acid Explanation: Exam trap: mother’s diet rich in folic acid is the excluded/false choice. The table/true-set above shows what remains correct.,caveat/updated,pediatrics leks 2026 caveat_updated
76,Which of the following is most commonly used in the pharmacological treatment of vasovagal syncope in children?,Answer: A: mineralocorticoid Explanation: Fludrocortisone is one pharmacologic option for recurrent vasovagal syncope when lifestyle measures fail; increased salt/fluid is first-line non-pharmacologic management.,caveat/updated,pediatrics leks 2026 caveat_updated
77,"A woman comes to the GP with her 4-year-old daughter, who has had a fever up to 39.5 ºC since the morning. The child complains of strong sore throat too. The physical examination reveals enlarged tonsils covered with white exudate and pus plugs. Anterior cervical lymph nodes are also enlarged. The clinical image allows the diagnosis of:","Answer: D: acute streptococcal pharyngitis and tonsillitis, but the decision on antibiotic therapy should be based on the rapid strep test result Explanation: With suspected GAS pharyngitis in a child, microbiologic confirmation (rapid antigen test +/- culture depending result/local policy) should guide antibiotics rather than treating solely from Centor/McIsaac score.",caveat/updated,pediatrics leks 2026 caveat_updated
78,Acute lymphoblastic leukemia (ALL) in a child population presents a relatively good prognosis compared with other neoplastic diseases. Which of the following is a prognostic high risk factor in ALL in children that urges intensive treatment and decreases chances of curing the disease?,Answer: B: presence of translocation t(9;22) Explanation: Philadelphia chromosome t(9;22)/BCR::ABL1 is a high-risk ALL feature and changes treatment intensity/targeted therapy.,caveat/updated,pediatrics leks 2026 caveat_updated
79,Which of the following diagnostic methods allows the identification of scars in the kidney?,Answer: A: DMSA scintigraphy Explanation: DMSA renal scintigraphy is the classic study for cortical renal scars.,caveat/updated,pediatrics leks 2026 caveat_updated
80,The doses of medications in children depending on the substance and the way of administration are calculated: 1) per kilogram of body weight; 2) per square meter of body surface; 3) as in adults for children older than 6 years; 4) as in adults for children older than 10 years; 5) as in adults for children with body weight of 40 kg or more,"Answer: B: 1,2,5 Caveat: Legacy A includes an arbitrary adult-dose cutoff at age 10. Paediatric doses are commonly weight- or BSA-based; adult dosing may be used when an adolescent reaches about adult body size/40 kg depending on the drug -> 1,2,5 = B. Explanation: Paediatric dosing is commonly weight- or body-surface-area based; adult dosing can be used for many drugs once approximately adult body weight is reached, but age cut-offs alone are not a universal rule.",caveat/updated,pediatrics leks 2026 caveat_updated
81,Invasive meningococcal disease was diagnosed in a 4-year-old child admitted to the hospital. What preventive measure should be implemented in a 2-year-old brother of the hospitalized child living in the same household?,Answer: C: one dose of ceftriaxone 125 mg should be given Explanation: Close household contacts of invasive meningococcal disease need prompt chemoprophylaxis; ceftriaxone is an accepted single-dose option for young children.,caveat/updated,pediatrics leks 2026 caveat_updated
82,A 3-year-old child suffers from significant pruritus aggravating at night. There are irregular papules on the skinfolds between digits. There are excoriations visible on the foot skin and in the intergluteal area. The probable diagnosis is:,Answer: A: scabies Explanation: Exam anchor: scabies. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
83,"Cystic fibrosis consists in inherited malfunction of the chloride channel. It results in the decreased excretion of chloride and the increased absorption of natrium into cells, which leads to ion disturbances and dehydration of the secretion of exocrine glands. Thus, it is true that in children with cystic fibrosis more often than in healthy children: 1) sweat contains less chloride, which is used in the diagnostics; 2) bronchiectasis may occur; 3) cholestasis and cholelithiasis may occur; 4) sinusitis and nasal polyps may occur; 5) exocrine pancreatic insufficiency may be observed while the…","Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The source truncates statement 5, and the proposed corrected combination depends on it. The safe action is to mark the item source-truncated rather than invent the missing clause. Explanation: CF sweat chloride is increased, not decreased. Bronchiectasis, hepatobiliary disease, sinus disease/nasal polyps and exocrine pancreatic insufficiency are classic complications.",invalid/outdated,pediatrics leks 2026 invalid_outdated
84,The most common type of juvenile idiopathic arthritis in children is:,Answer: A: oligoarticular juvenile idiopathic arthritis Explanation: Oligoarticular JIA is the most common JIA category in children.,caveat/updated,pediatrics leks 2026 caveat_updated
85,The most common causes of macrocytic anaemia in children include:,"Answer: A: deficiency of vitamin B , deficiency of folic acid, hypothyroidism, liver diseases Explanation: Exam anchor: deficiency of vitamin B , deficiency of folic acid, hypothyroidism, liver diseases. Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
86,The elements of primary prophylaxis of atopic dermatitis include:,"Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The prevention recommendations embedded in the item reflect older atopic-dermatitis prevention concepts. Evidence for exclusive breastfeeding/hydrolysates/emollients as primary prevention has evolved, and the offered combinations do not form one durable current answer. Explanation: OUTDATED PREVENTION ITEM: avoid tobacco smoke; routine maternal/infant allergen avoidance and universal prophylactic emollient or hydrolysed-formula strategies are not established as a single evidence-based primary-prevention package for atopic dermatitis.",invalid/outdated,pediatrics leks 2026 invalid_outdated
